,r_tensione,r_carico,r_produzione,r_immissione,r_boiler,r_temperatura,tmp
0,57,69,72,326,1163,32,2022-04-24 03:54:23.119284
0,52,98,94,379,1133,89,2022-04-24 03:54:25.126177
0,42,15,42,494,2179,34,2022-04-24 03:54:27.136852
0,12,61,9,187,753,87,2022-04-24 03:54:29.141907
0,28,40,40,77,692,73,2022-04-24 03:54:31.143904
0,26,14,66,72,765,89,2022-04-24 03:54:33.152332
0,95,36,3,192,1492,65,2022-04-24 03:54:35.159087
0,55,28,75,370,270,44,2022-04-24 03:54:37.172465
0,74,91,100,531,284,5,2022-04-24 03:54:39.176838
0,38,0,58,305,712,91,2022-04-24 03:54:41.188406
0,74,30,71,584,1445,49,2022-04-24 03:54:43.194670
0,72,11,64,504,2498,17,2022-04-24 03:54:45.207617
0,72,12,23,558,2898,60,2022-04-24 03:54:47.215037
0,14,44,43,262,2885,85,2022-04-24 03:54:49.216250
0,55,83,48,282,1693,11,2022-04-24 03:54:51.226680
0,12,87,95,329,2433,17,2022-04-24 03:54:53.232936
0,36,22,25,583,1158,51,2022-04-24 03:54:55.239940
0,0,92,87,77,1079,39,2022-04-24 03:54:57.248468
0,65,66,92,180,2753,58,2022-04-24 03:54:59.254449
0,96,22,20,13,1439,49,2022-04-24 03:55:01.265466
0,37,35,83,141,319,48,2022-04-24 03:55:03.273534
0,85,98,54,222,853,78,2022-04-24 03:55:05.282209
0,38,80,84,321,2633,48,2022-04-24 03:55:07.287412
0,68,53,9,251,1103,85,2022-04-24 03:55:09.300096
0,13,78,99,351,1477,33,2022-04-24 03:55:11.306864
0,29,65,21,281,105,33,2022-04-24 03:55:13.317109
0,64,20,17,158,2442,92,2022-04-24 03:55:15.323498
0,44,38,15,579,1640,6,2022-04-24 03:55:17.329052
0,83,3,19,303,2662,55,2022-04-24 03:55:19.336785
0,58,100,91,426,1437,62,2022-04-24 03:55:21.338835
0,1,66,75,208,1630,28,2022-04-24 03:55:23.350758
0,100,75,56,144,760,82,2022-04-24 03:55:25.360642
0,81,93,5,276,1983,67,2022-04-24 03:55:27.368855
0,71,86,47,563,1496,56,2022-04-24 03:55:29.375835
0,16,13,1,322,1750,95,2022-04-24 03:55:31.381908
0,27,23,92,411,1250,29,2022-04-24 03:55:33.392111
0,55,100,5,466,58,25,2022-04-24 03:55:35.397460
