,r_tensione,r_carico,r_produzione,r_immissione,r_boiler,r_temperatura,tmp
0,97,11,37,534,535,44,2022-04-25 11:49:58.966791
1,30,1,88,406,2870,54,2022-04-25 11:50:00.971160
2,63,42,38,389,1860,73,2022-04-25 11:50:02.977076
3,76,36,64,59,410,60,2022-04-25 11:50:04.983430
4,41,71,93,54,771,47,2022-04-25 11:50:06.997400
0,24,19,38,255,804,10,2022-04-25 11:50:08.460620
1,96,86,9,138,1008,14,2022-04-25 11:50:10.476702
2,27,79,11,193,2884,95,2022-04-25 11:50:12.483171
3,38,56,8,91,753,31,2022-04-25 11:50:14.497735
4,48,24,35,27,52,29,2022-04-25 11:50:16.507648
0,69,48,91,40,1885,86,2022-04-25 11:50:18.511897
1,28,45,20,266,59,16,2022-04-25 11:50:20.514202
2,69,78,56,435,812,3,2022-04-25 11:50:22.528680
3,82,85,69,433,2319,70,2022-04-25 11:50:24.539860
4,75,47,54,114,667,89,2022-04-25 11:50:26.546170
0,3,39,52,229,1564,66,2022-04-25 11:50:28.556465
1,86,81,70,460,1072,50,2022-04-25 11:50:30.564873
2,66,95,12,226,2618,80,2022-04-25 11:50:32.577126
3,50,61,43,353,2643,63,2022-04-25 11:50:34.589768
4,61,14,5,284,1755,66,2022-04-25 11:50:36.596649
0,3,83,80,268,2995,31,2022-04-25 11:50:38.600703
1,62,30,95,515,2697,76,2022-04-25 11:50:40.612053
2,38,22,72,334,2465,55,2022-04-25 11:50:42.624608
3,43,8,29,255,1304,39,2022-04-25 11:50:44.629157
4,53,84,55,134,2295,67,2022-04-25 11:50:46.633360
0,49,81,78,497,596,3,2022-04-25 11:50:48.644976
1,34,21,86,147,2918,3,2022-04-25 11:50:50.655579
2,55,19,70,256,1650,82,2022-04-25 11:50:52.670335
3,25,48,86,276,1390,78,2022-04-25 11:50:54.672512
4,83,59,45,437,1532,4,2022-04-25 11:50:56.677280
0,45,22,87,356,985,53,2022-04-25 11:50:58.687409
1,18,96,83,333,364,81,2022-04-25 11:51:00.697277
2,81,57,48,475,767,9,2022-04-25 11:51:02.709662
3,10,74,3,380,1826,36,2022-04-25 11:51:04.715408
4,66,33,38,119,1556,27,2022-04-25 11:51:06.729496
0,43,47,36,156,2736,75,2022-04-25 11:51:08.739134
1,3,55,54,532,705,41,2022-04-25 11:51:10.751349
2,72,55,59,57,2951,94,2022-04-25 11:51:12.752604
3,48,28,83,402,1010,7,2022-04-25 11:51:14.763446
4,94,1,79,282,1210,32,2022-04-25 11:51:16.777175
0,44,9,35,156,1406,25,2022-04-25 11:51:18.779891
1,39,31,9,568,1216,75,2022-04-25 11:51:20.782154
2,34,82,47,551,912,18,2022-04-25 11:51:22.787166
3,70,95,7,359,1291,13,2022-04-25 11:51:24.797936
4,90,29,24,462,277,10,2022-04-25 11:51:26.810134
0,9,9,31,470,1238,71,2022-04-25 11:51:28.810419
1,3,35,68,498,891,2,2022-04-25 11:51:30.822797
2,99,13,47,229,1463,25,2022-04-25 11:51:32.833271
3,60,73,10,165,1649,92,2022-04-25 11:51:34.843844
4,29,77,22,16,1661,72,2022-04-25 11:51:36.844952
0,55,85,91,530,1514,53,2022-04-25 11:51:38.845635
1,55,42,38,328,2622,44,2022-04-25 11:51:40.860629
2,39,39,71,535,2078,10,2022-04-25 11:51:42.867500
3,86,41,17,335,2239,62,2022-04-25 11:51:44.880667
4,72,32,26,338,212,64,2022-04-25 11:51:46.888936
