r_tensione,r_carico,r_produzione,r_immissione,r_boiler,r_temperatura,tmp
88,8,14,414,565,19,2022-06-01 00:15:01.843296
25,32,91,234,1726,91,2022-06-01 00:15:03.856356
89,52,63,268,381,10,2022-06-01 00:15:05.857749
58,84,72,455,1563,47,2022-06-01 00:15:07.862381
4,17,61,381,644,98,2022-06-01 00:15:09.872423
9,38,51,166,2305,74,2022-06-01 00:15:11.873251
41,81,35,557,325,100,2022-06-01 00:15:13.882133
79,29,0,539,466,49,2022-06-01 00:15:15.883514
49,53,20,43,111,26,2022-06-01 00:15:17.896582
50,89,82,259,4,16,2022-06-01 00:15:19.900845
96,59,54,562,240,15,2022-06-01 00:15:21.906476
19,90,72,495,1944,61,2022-06-01 00:15:23.908396
71,78,88,353,2976,69,2022-06-01 00:15:25.917578
80,35,71,529,1004,13,2022-06-01 00:15:27.922307
89,7,96,20,1662,95,2022-06-01 00:15:29.929036
28,93,52,79,1878,85,2022-06-01 00:15:31.935133
98,94,18,144,430,0,2022-06-01 00:15:33.939826
40,6,91,84,1181,47,2022-06-01 00:15:35.951281
57,74,87,112,446,98,2022-06-01 00:15:37.955526
